date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:27	272/272	---MCZ	200	added ('OK')	text/plain	date:Sun,%2021%20Sep%202025%2015:31:11%20GMT	https://simonsinek.com/robots.txt		(from )
20:54:30	452496/452496	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2015:54:28%20GMT	https://simonsinek.com/	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/index.html	(from )
20:54:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2021%20Sep%202025%2015:54:32%20GMT	https://simonsinek.com/i	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/i	(from https://simonsinek.com/)
20:54:32	1409/1409	---MCZ	200	added ('OK')	text/css	etag:W/%226895b708-581%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_460e2105add991478daee603eb1cb980.css?ver=8.3.0	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_460e2105add991478daee603eb1cb9809662.css	(from https://simonsinek.com/)
20:54:32	1504378/1504378	---M--	200	added ('OK')	image/webp	etag:%22683ee31c-16f47a%22	https://simonsinek.com/wp-content/uploads/2025/06/home-hero-v2.webp	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/uploads/2025/06/home-hero-v2.webp	(from https://simonsinek.com/)
20:54:33	1673/1673	---MCZ	200	added ('OK')	text/css	etag:W/%2268c9360b-689%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_28630bc96180da79b2bd368f8fb4161d.css?ver=8.3.0	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_28630bc96180da79b2bd368f8fb4161d9662.css	(from https://simonsinek.com/)
20:54:34	12782/12782	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2245c49bdbf40e3ffa1e61cf630c4e9247%22	https://simonsinek.com/feed/	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/feed/index.html	(from https://simonsinek.com/)
20:54:34	323566/323566	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2015:54:34%20GMT	https://simonsinek.com/optimists/ian-sanders/	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/optimists/ian-sanders/index.html	(from https://simonsinek.com/)
20:54:35	27640/27640	---MCZ	200	added ('OK')	text/css	etag:W/%226895b708-6bf8%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_e166554d9568a75420df25df66eee803.css?ver=2.6.3	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_e166554d9568a75420df25df66eee8036fca.css	(from https://simonsinek.com/)
20:54:36	287052/287052	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Sep%202025%2015:54:35%20GMT	https://simonsinek.com/Firefox/	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/Firefox/index.html	(from https://simonsinek.com/)
20:54:36	14557/14557	---MCZ	200	added ('OK')	text/css	etag:W/%226895b708-38dd%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_e3e811600e32258de0b9ba53c7798db8.css?ver=5.7.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_e3e811600e32258de0b9ba53c7798db89f31.css	(from https://simonsinek.com/)
20:54:36	732/732	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%223c86f1300db061a3851af8b4c0141052%22	https://simonsinek.com/comments/feed/	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/comments/feed/index.html	(from https://simonsinek.com/)
20:54:36	2034/2034	---MCZ	200	added ('OK')	text/css	etag:W/%226895b708-7f2%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_5bdbeece589b40e8cb0c8b1d020e3897.css?ver=1.0.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_5bdbeece589b40e8cb0c8b1d020e389720b9.css	(from https://simonsinek.com/)
20:54:36	19622/19622	---MCZ	200	added ('OK')	text/css	etag:W/%2268c93558-4ca6%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_e98f5279cacaef826050eb2595082e77.css?ver=10.1.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_e98f5279cacaef826050eb2595082e77523e.css	(from https://simonsinek.com/)
20:54:36	7502/7502	---MCZ	200	added ('OK')	text/css	etag:W/%2268c93558-1d4e%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_59d266c0ea580aae1113acb3761f7ad5.css?ver=10.1.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_59d266c0ea580aae1113acb3761f7ad5523e.css	(from https://simonsinek.com/)
20:54:36	86552/86552	---MCZ	200	added ('OK')	text/css	etag:W/%2268c93558-15218%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_f9db2117cb3f9bf8433a39bd81b3e492.css?ver=10.1.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_f9db2117cb3f9bf8433a39bd81b3e492523e.css	(from https://simonsinek.com/)
20:54:37	276026/276026	---MCZ	200	added ('OK')	text/css	etag:W/%2268c92f12-4363a%22	https://simonsinek.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min.css?ver=1.14.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min0a10.css	(from https://simonsinek.com/)
20:54:37	512/512	---MCZ	200	added ('OK')	text/css	etag:W/%2268c7b403-200%22	https://simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_da7f0f6aebde50c1fb30935d025f8cda.css?ver=1.14.2	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/cache/autoptimize/css/autoptimize_single_da7f0f6aebde50c1fb30935d025f8cda0a10.css	(from https://simonsinek.com/)
20:54:37	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2268948997-684e%22	https://simonsinek.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=1.0	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5152.css	(from https://simonsinek.com/)
20:54:37	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2268948997-e7d0%22	https://simonsinek.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.0	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5152.css	(from https://simonsinek.com/)
20:54:37	9503/9503	---MCZ	200	added ('OK')	text/css	etag:W/%226874a75a-251f%22	https://simonsinek.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min.css?ver=2.4.0	C:/My%20Web%20Sites/Simon%20Websit%20Clone/simonsinek.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min8d5a.css	(from https://simonsinek.com/)
